Milan,Wharehouse4,cordial,0.4,15,-0.5,0.2,0,1,1200,9,8,8,11,7,9,6,8,9,10,8,9,9,11,7,11,10,10,9,10,9,9,13,11,11,9,14,11,11,11,11,10,9,12,11,11,12,13,11,12,12,13,15,11,9,13,15,13
Rome,Wharehouse5,nectar,0.4,22,1,0.2,0,2,800,22,20,20,19,22,20,23,25,23,22,22,20,21,22,23,22,23,26,27,26,27,26,25,21,26,24,24,29,24,28,28,27,26,25,27,25,25,28,28,29,29,31,31,33,32,29,29,31
Rome,Wharehouse5,cordial,0.4,15,1,0.2,0,2,1400,11,11,13,13,14,16,15,16,14,14,11,18,14,15,14,16,15,18,15,17,16,17,17,19,15,19,20,18,17,15,19,20,19,22,20,19,19,21,19,18,23,19,23,20,21,21,24,21
Bucharest,Wharehouse6,nectar,-0.5,22,-1,0.2,0,2,700,40,43,47,41,37,32,20,16,15,16,17,26,35,34,36,34,28,22,18,15,12,12,14,20,24,27,28,29,21,16,13,7,9,8,11,14,16,20,19,17,12,10,8,7,4,5,6,6
Bucharest,Wharehouse6,cordial,-0.1,15,-1,0.2,0,2,1300,27,28,31,28,27,17,12,8,10,8,15,16,20,23,23,19,17,16,11,9,7,7,8,12,14,13,11,10,8,7,6,3,4,3,3,4,8,1,4,4,0,2,0,0,1,0,0,0
Budapest,Wharehouse7,nectar,-0.2,22,1,0.2,3,2,900,26,18,19,17,27,32,40,45,48,42,37,33,22,13,14,17,21,28,31,38,38,39,32,22,20,14,12,12,18,24,26,31,30,30,24,17,18,12,7,10,12,18,25,21,26,23,20,14
Budapest,Wharehouse7,cordial,-0.2,15,1,0.2,0,2,1500,29,29,29,26,24,25,26,25,25,25,26,26,24,25,21,23,22,22,24,23,22,19,20,19,20,18,21,20,17,15,19,19,15,17,18,16,17,15,16,13,14,15,10,11,13,13,12,10
Kemijarvi,Wharehouse8,nectar,0.8,15,0.5,0,0,1,900,23,27,32,28,30,26,27,22,22,21,19,25,27,28,29,29,27,27,25,21,20,19,22,23,26,27,30,28,29,28,27,22,22,18,22,25,26,26,33,28,30,28,25,21,22,20,21,23
Kemijarvi,Wharehouse8,cordial,0.8,15,0.5,0,0,1,1500,18,18,20,15,11,15,16,22,21,17,13,13,15,20,20,17,12,16,17,20,22,17,12,15,18,19,18,19,13,18,19,22,19,17,14,14,15,20,20,17,16,14,19,20,23,15,16,15
Warsaw,Wharehouse9,nectar,-0.7,22,-1,0.2,0,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,4,6,6,6,9,9,12,13,16,17,17,16,15,15,15,17,19,22,26,29,29,30,30,28,26,25,25,27,30,35
Warsaw,Wharehouse9,cordial,-0.5,15,-1,0.2,3,1,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,4,6,6,8,10,13,14,16,16,16,15,16,15,15,17,20,22,25,28,30,31,30,27,27,24,25,25,29,34
Berlin,Wharehouse10,nectar,0,22,1,0.1,0,1,1000,26,25,44,62,63,45,25,22,36,55,60,41,22,19,35,49,46,35,16,15,25,36,37,25,12,13,18,30,29,21,13,10,15,21,20,13,7,7,10,14,10,8,4,3,5,6,3,2
Berlin,Wharehouse10,cordial,0,15,1,0.1,0,1,1600,25,23,41,58,57,39,20,20,30,50,46,32,17,18,31,42,38,26,15,13,23,32,30,19,11,10,16,21,19,15,6,7,9,11,12,6,4,3,5,6,4,2,2,2,0,0,0,0
,,,,,,,,,Total nectar,215,214,233,239,254,233,221,215,224,234,231,230,205,201,222,227,228,221,206,212,219,222,221,204,203,208,210,226,219,219,214,205,206,208,211,207,206,215,216,215,207,212,215,210,208,200,198,206
,,,,,,,,,Total cordial,175,173,193,207,197,182,164,166,181,184,183,173,162,175,173,188,174,176,167,166,174,173,169,170,161,168,172,171,161,161,168,172,161,169,165,163,171,168,171,168,160,161,172,168,167,157,166,163
FFFFA6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prix de vente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,janv,févr,mars,avr,mai,juin,juil,août,sept,oct,nov,déc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris,nectar,10,14,15,15,15,16,15,15,14,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,16,22,20,21,22,19,19,18,17,16,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paris,cordial,5,6,8,10,11,11,11,11,10,9,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,13,15,15,15,15,15,15,12,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rauma,nectar,22,20,24,21,23,21,22,21,22,22,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21,22,22,22,23,21,21,21,23,22,24,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rauma,cordial,15,14,15,15,14,15,15,13,14,14,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,14,14,17,13,14,14,17,15,16,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madrid,nectar,27,24,22,21,19,19,19,19,21,24,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,26,25,24,22,17,16,20,18,22,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madrid,cordial,13,14,14,14,13,14,17,16,19,17,17,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,11,12,12,14,14,16,17,20,16,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milan,nectar,13,11,13,10,12,13,13,12,14,15,17,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,18,21,22,23,25,25,25,24,23,23,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milan,cordial,7,4,6,6,5,6,6,8,10,10,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,14,15,15,14,16,15,15,16,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rome,nectar,14,17,14,20,16,16,11,13,15,11,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,20,27,23,26,19,18,17,20,16,18,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rome,cordial,10,8,7,8,10,7,5,6,9,8,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,14,13,15,17,10,10,11,7,12,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bucharest,nectar,33,28,24,24,29,34,34,38,36,30,32,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25,18,21,20,21,21,29,28,25,26,26,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bucharest,cordial,13,10,14,18,14,17,20,20,19,19,17,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,14,14,11,15,12,15,15,22,19,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budapest,nectar,19,25,25,29,31,32,32,28,23,21,17,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,21,23,26,25,24,27,29,27,22,25,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Budapest,cordial,21,20,24,23,21,18,17,16,15,12,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,20,22,19,19,19,19,14,13,10,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemijarvi,nectar,0,0,0,0,0,1,2,1,2,2,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,6,9,10,9,12,10,11,14,12,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kemijarvi,cordial,0,0,0,0,0,1,1,2,3,3,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,5,6,9,11,9,11,13,13,14,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warsaw,nectar,33,31,28,29,31,35,37,39,40,36,34,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,27,25,24,24,25,27,28,29,29,25,24,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warsaw,cordial,30,27,25,22,19,16,19,21,22,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23,22,19,16,14,14,14,15,18,17,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,nectar,24,25,24,24,24,23,20,19,19,22,20,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,22,23,24,24,23,22,21,22,18,19,21,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berlin,cordial,16,15,18,16,15,14,15,13,13,14,17,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16,17,15,17,18,15,14,14,12,14,15,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
